[08:14:55 AM || 19/06/2026] [ERROR] [UNCAUGHT_EXCEPTION] [eval]:5
console.log(JSON.stringify(global.__captured.HIDDEN_OWNER_IDS, null, 2));
                                             ^

TypeError: Cannot read properties of undefined (reading 'HIDDEN_OWNER_IDS')
    at [eval]:5:46
    at runScriptInThisContext (node:internal/vm:209:10)
    at node:internal/process/execution:446:12
    at [eval]-wrapper:6:24
    at runScriptInContext (node:internal/process/execution:444:60)
    at evalFunction (node:internal/process/execution:279:30)
    at evalTypeScript (node:internal/process/execution:291:3)
    at node:internal/main/eval_string:74:3
[04:04:31 PM || 19/06/2026] [ERROR] [COMMAND] Skipped ibb.js: missing/incorrect credits field (expected "MR DEVIL")
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: icecream
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: info
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: islamicscheduler
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: join
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: juice
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: kick
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: kiss
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: lassi
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: link
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: macaroni
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: milkshake
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: nicklock
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: nicklockall
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: nickname
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: nickunlock
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: nickunlockall
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: noodles
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: ofcmd
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: olcmd
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: onlyadmin
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: openaccount
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: out
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: outbox
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: owner
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: pair
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: pair10
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: pair11
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: pair12
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: pair13
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: pair14
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: pair15
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: pair2
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: pair3
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: pair4
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: pair5
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: pair6
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: pair7
[04:04:31 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: pair8
